Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Centras, Laisvės al.",Centras, Laisvės al.,500 ,"
                            2 rooms, 45 m², 3/4 floor, 1980 year, central, brick                        ", 45 ,2, 1980 , 3/4 ,/butu-nuoma-kaune-centre-laisves-al-naujas-butas-laisves-alejoje-butas-4-1013969/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Krėvos g.",Centras, Krėvos g.,600 ,"
                            2 rooms, 46 m², 3/6 floor, 2021 year, central, brick                        ", 46 ,2, 2021 , 3/6 ,/butu-nuoma-kaune-centre-krevos-g-tiesiogiai-be-tarpininku-isnuomojamas-4-1075399/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Vilijampolė, Varnių g.",Vilijampolė, Varnių g.,390 ,"
                            2 rooms, 53 m², 3/5 floor, 2006 year, central thermostat, brick                        ", 53 ,2, 2006 , 3/5 ,/butu-nuoma-kaune-vilijampoleje-varniu-g-isnuomojamas-sviesus-jaukus-2-kambariu-butas-4-1073831/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Vilijampolė, Brastos g.",Vilijampolė, Brastos g.,630 ,"
                            2 rooms, 55 m², 5/5 floor, 2019 year, central thermostat, brick                        ", 55 ,2, 2019 , 5/5 ,/butu-nuoma-kaune-vilijampoleje-brastos-g-isnuomojamas-puikiai-irengtas-2-kambariu-55-4-1069901/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Savanorių pr.",Žaliakalnis, Savanorių pr.,380 ,"
                            2 rooms, 56 m², 1/3 floor, 1935 year, gas, brick                        ", 56 ,2, 1935 , 1/3 ,/butu-nuoma-kaune-zaliakalnyje-savanoriu-pr-isnuomojamas-2-kambariu-56-kvm-butas-4-1013615/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Eiguliai, Ukmergės g.",Eiguliai, Ukmergės g.,450 ,"
                            3 rooms, 62 m², 3/6 floor, 2005 year, brick                        ", 62 ,3, 2005 , 3/6 ,/butu-nuoma-kaune-eiguliuose-ukmerges-g-isnuomojamas-3-k-naujos-statybos-name-62-kv-4-1008697/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Petrašiūnai, T. Masiulio g.",Petrašiūnai, T. Masiulio g.,360 ,"
                            2 rooms, 45,21 m², 5/5 floor, 1966 year, central, brick                        ", 45.21 ,2, 1966 , 5/5 ,/butu-nuoma-kaune-petrasiunuose-t-masiulio-g-vos-2-minutes-iki-kauno-mariu-4-1080063/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Šilainiai, Šarkuvos g.",Šilainiai, Šarkuvos g.,330 ,"
                            1 rooms, 37,23 m², 4/5 floor, 1993 year, central, block house                        ", 37.23 ,1, 1993 , 4/5 ,/butu-nuoma-kaune-silainiuose-sarkuvos-g-jaukus-vieno-kambario-butas-su-atskira-4-1043081/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Aukštieji Šančiai, Lentvario g.",Aukštieji Šančiai, Lentvario g.,330 ,"
                            2 rooms, 52 m², 4/9 floor, 1992 year, central thermostat, brick                        ", 52 ,2, 1992 , 4/9 ,/butu-nuoma-kaune-aukstuosiuose-sanciuose-lentvario-g-isnuomojamas-2-kambariu-butas-aukstuosiuose-4-1080391/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Eiguliai, Sukilėlių pr.",Eiguliai, Sukilėlių pr.,110 ,"
                            4 rooms, 15 m², 1/9 floor, 1990 year, central, block house                        ", 15 ,4, 1990 , 1/9 ,/butu-nuoma-kaune-eiguliuose-sukileliu-pr-salia-lsmu-naujai-suremontuotame-siltame-4-1080383/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Aušros g.",Žaliakalnis, Aušros g.,470 ,"
                            2 rooms, 48 m², 5/7 floor, 2007 year, central thermostat, brick                        ", 48 ,2, 2007 , 5/7 ,/butu-nuoma-kaune-zaliakalnyje-ausros-g-jaukus-siltas-tvarkingas-ir-patogus-butas-4-1080379/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Kęstučio g.",Centras, Kęstučio g.,450 ,"
                            1 rooms, 33 m², 5/5 floor, 1936 year, central thermostat, brick                        ", 33 ,1, 1936 , 5/5 ,/butu-nuoma-kaune-centre-kestucio-g-isnuomojamas-naujas-modernus-ir-jaukus-4-1080373/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
