Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"199,900 ", 139.22,4,1917,1/3,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-21a-kaune-13922-kvm-ploto-4-kambariai-p205549
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"120,000 ", 73.65,3,2021,3/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-7365-kvm-ploto-3-kambariai-p200452
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Vytarto g.", Žemieji Šančiai, A. Vytarto g.,"105,000 ", 66.0,3,2018,2/3,https://www.capital.lt/lt/parduodamas-butas-a-vytarto-g-30-kaune-6600-kvm-ploto-3-kambariai-p199547
"Kauno m. sav., Kauno m., Centras, Laisvės al.", Centras, Laisvės al.,"498,000 ", 184.34,3,1883,2/3,https://www.capital.lt/lt/parduodamas-butas-laisves-al-38-centre-kaune-18434-kvm-ploto-3-kambariai-p197907
"Kauno m. sav., Kauno m., Centras, Laisvės al.", Centras, Laisvės al.,"329,000 ", 137.35,3,1883,2/3,https://www.capital.lt/lt/parduodamas-butas-laisves-alejoje-p197906
"Kauno m. sav., Kauno m., Žaliakalnis, Aukštaičių g.", Žaliakalnis, Aukštaičių g.,"199,999 ", 85.42,3,2017,3/3,https://www.capital.lt/lt/parduodamas-butas-aukstaiciu-g-94-zaliakalnyje-kaune-8542-kvm-ploto-3-kambariai-p197107
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"105,000 ", 59.77,2,2019,5/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-5977-kvm-ploto-2-kambariai-p195890
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"180,000 ", 107.72,4,2021,6/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-10772-kvm-ploto-4-kambariai-p195889
"Kauno m. sav., Kauno m., Centras, Laisvės al.", Centras, Laisvės al.,"550,000 ", 172.27,3,1977,4/4,https://www.capital.lt/lt/parduodamas-butas-laisves-al-84-centre-kaune-17227-kvm-ploto-3-kambariai-p194447
"Kauno m. sav., Kauno m., Žaliakalnis, Studentų g.", Žaliakalnis, Studentų g.,"149,900 ", 82.52,3,2019,1/3,https://www.capital.lt/lt/parduodamas-butas-studentu-g-51-zaliakalnyje-kaune-8252-kvm-ploto-3-kambariai-p193742
"Kauno m. sav., Kauno m., Kapsų g.", Kapsų g.,NaN,"78,000 ", 56.2,3,1932,2/2,https://www.capital.lt/lt/parduodamas-butas-kapsu-g-kaune-5620-kvm-ploto-3-kambariai-p190581
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"120,000 ", 70.33,3,2021,1/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-7033-kvm-ploto-3-kambariai-p185454
"Kauno m. sav., Kauno m., Centras, E. Ožeškienės g.", Centras, E. Ožeškienės g.,"119,999 ", 70.33,3,1912,2/3,https://www.capital.lt/lt/parduodamas-butas-e-ozeskienes-g-3-kambariu-su-autonominiu-sildymu-p177619
"Kauno m. sav., Kauno m., Centras, E. Ožeškienės g.", Centras, E. Ožeškienės g.,"250,000 ", 115.0,4,1910,2/3,https://www.capital.lt/lt/prabangus-4-kambariu-butas-kauno-centre-115-kvm--p171801
