Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Taikos pr.", Taikos pr.,NaN,"72,300 ", 51.99,2,1988,2/9,https://www.capital.lt/lt/parduodamas-butas-taikos-pr-86-kaune-5199-kvm-ploto-2-kambariai-p230103
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,"55,000 ", 44.88,2,1964,1/5,https://www.capital.lt/lt/parduodamas-butas-varniu-g-40-vilijampoleje-kaune-4488-kvm-ploto-2-kambariai-p230099
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"66,075 ", 44.05,2,2022,1/4,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-112a-dainavoje-kaune-4405-kvm-ploto-2-kambariai-p230000
"Kauno m. sav., Kauno m., Eiguliai, Ukmergės g.", Eiguliai, Ukmergės g.,"76,000 ", 82.66,4,1982,1/9,https://www.capital.lt/lt/parduodamas-butas-ukmerges-g-eiguliuose-kaune-8266-kvm-ploto-4-kambariai-p229972
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"72,900 ", 66.01,3,1978,8/12,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-166-dainavoje-kaune-6601-kvm-ploto-3-kambariai-p229956
"Kauno m. sav., Kauno m., Šilainiai, Baltų pr.", Šilainiai, Baltų pr.,"69,500 ", 50.5,2,1990,1/9,https://www.capital.lt/lt/parduodamas-butas-baltu-pr-57-silainiuose-kaune-5050-kvm-ploto-2-kambariai-p229909
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"195,000 ", 131.0,4,1937,2/3,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-zaliakalnyje-kaune-13100-kvm-ploto-4-kambariai-p229887
"Kauno m. sav., Kauno m., Aleksotas, Šeštokų g.", Aleksotas, Šeštokų g.,"139,900 ", 69.7,4,2018,2/4,https://www.capital.lt/lt/parduodamas-butas-sestoku-g-31-aleksote-kaune-6970-kvm-ploto-4-kambariai-p229803
"Kauno m. sav., Kauno m., Žemieji Šančiai, Kranto 7-oji g.", Žemieji Šančiai, Kranto 7-oji g.,"99,000 ", 52.62,3,2019,2/3,https://www.capital.lt/lt/butas-su-pilna-apdaila-kranto-7-oji-g-16-kaune-5262-kvm-ploto-3-kambariai-p229783
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"99,277 ", 44.32,2,2021,4/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-kaune-4432-kvm-ploto-2-kambariai-p229778
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"174,573 ", 83.13,4,2021,6/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-kaune-8313-kvm-ploto-4-kambariai-p229777
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"61,000 ", 44.52,2,,2/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-232-dainavoje-kaune-4452-kvm-ploto-2-kambariai-p229776
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"150,085 ", 61.01,2,2021,10/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-kaune-6101-kvm-ploto-2-kambariai-p229769
"Kauno m. sav., Kauno m., Kalniečiai, V. Landsbergio-Žemkalnio g.", Kalniečiai, V. Landsbergio-Žemkalnio g.,"45,000 ", 33.35,1,1977,5/5,https://www.capital.lt/lt/ieskote-nedidelio-sviesaus-gera-nuotaika-keliancio-1-kambario-buto-i-kuri-galite-ateiti-ir-gyventi-iskarto-p229764
"Kauno m. sav., Kauno m., Žaliakalnis, Žemaičių g.", Žaliakalnis, Žemaičių g.,"38,500 ", 45.49,2,1932,2/2,https://www.capital.lt/lt/zaliakalnyje-zemaiciu-g-parduodamas-2-kambariu-butas-mediniame-name-p229752
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Vievio g.", Aukštieji Šančiai, Vievio g.,"75,500 ", 65.37,3,1990,1/5,https://www.capital.lt/lt/parduodamas-butas-vievio-g-72-aukstuosiuose-sanciuose-kaune-6537-kvm-ploto-3-kambariai-p229624
"Kauno m. sav., Kauno m., Žemieji Šančiai, Kranto al.", Žemieji Šančiai, Kranto al.,"85,200 ", 71.0,4,1968,4/5,https://www.capital.lt/lt/parduodamas-butas-kranto-al-52-kaune-7100-kvm-ploto-su-balkonu-i-nemuno-upe-4-kambariu-p229621
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,"128,000 ", 60.94,2,1984,5/7,https://www.capital.lt/lt/loftas-viljampoleje-varniu-g-p229600
"Kauno m. sav., Kauno m., Kalniečiai, Kalniečių g.", Kalniečiai, Kalniečių g.,"49,900 ", 54.0,2,1954,1/2,https://www.capital.lt/lt/parduodamas-butas-kalnieciu-g-193-kalnieciuose-kaune-5400-kvm-ploto-2-kambariai-p229529
"Kauno m. sav., Kauno m., Freda, Vinčų g.", Freda, Vinčų g.,"74,999 ", 64.2,3,1976,4/5,https://www.capital.lt/lt/parduodamas-butas-vincu-g-3-fredoje-kaune-6420-kvm-ploto-3-kambariai-p229500
"Kauno m. sav., Kauno m., Eiguliai, Kalniečių g.", Eiguliai, Kalniečių g.,"58,900 ", 50.55,2,1983,1/9,https://www.capital.lt/lt/2-kambariu-butas-eiguliuose-p229413
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Ašmenos 1-oji g.", Aukštieji Šančiai, Ašmenos 1-oji g.,"134,000 ", 68.54,3,2011,2/16,https://www.capital.lt/lt/parduodamas-6854-kvm-3-kmbr-butas-asmenos-1-oji-g-aukstieji-sanciai-kaunas-p229382
"Kauno m. sav., Kauno m., Žaliakalnis, Ryšių g.", Žaliakalnis, Ryšių g.,"77,000 ", 71.36,4,1975,1/5,https://www.capital.lt/lt/parduodamas-7136-4-kmbr-butas-rysiu-g-zaliakalnis-kaunas-p229366
"Kauno m. sav., Kauno m., Aleksotas, S. Hariso g.", Aleksotas, S. Hariso g.,"52,000 ", 35.0,2,1930,1/1,https://www.capital.lt/lt/parduodamas-butas-s-hariso-g-21-aleksote-kaune-3500-kvm-ploto-2-kambariai-p229314
"Kauno m. sav., Kauno m., Dainava, Taikos pr.", Dainava, Taikos pr.,"77,900 ", 60.87,3,1966,5/5,https://www.capital.lt/lt/3-kambariu-butas-dainavoje-p229310
"Kauno m. sav., Kauno m., Aleksotas, Šeštokų g.", Aleksotas, Šeštokų g.,"124,000 ", 54.0,3,2019,1/3,https://www.capital.lt/lt/parduodamas-butas-sestoku-g-aleksote-kaune-5400-kvm-ploto-3-kambariai-p229302
"Kauno m. sav., Kauno m., Žemutiniai Kaniūkai, Įkalnės aklg.", Žemutiniai Kaniūkai, Įkalnės aklg.,"115,000 ", 57.0,3,2020,NaN,https://www.capital.lt/lt/parduodamas-butas-ikalnes-aklg-4-zemutiniuose-kaniukuose-kaune-5700-kvm-ploto-3-kambariai-p229279
"Kauno m. sav., Kauno m., Šilainiai, Kuršių g.", Šilainiai, Kuršių g.,"43,000 ", 36.48,1,1988,4/5,https://www.capital.lt/lt/parduodamas-butas-kursiu-g-16-silainiuose-kaune-3648-kvm-ploto-1-kambariai-p229252
"Kauno m. sav., Kauno m., Žaliakalnis, Zarasų g.", Žaliakalnis, Zarasų g.,"85,000 ", 108.54,4,1938,1/2,https://www.capital.lt/lt/parduodamas-butas-zarasu-g-46-zaliakalnyje-kaune-10854-kvm-ploto-4-kambariai-p229227
"Kauno m. sav., Kauno m., Centras, Gedimino g.", Centras, Gedimino g.,"109,900 ", 50.45,1,1926,2/2,https://www.capital.lt/lt/parduodamas-butas-gedimino-g-5-centre-kaune-5045-kvm-ploto-1-kambariai-p229192
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"49,000 ", 46.6,2,1972,2/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-174-dainavoje-kaune-4660-kvm-ploto-2-kambariai-p229174
"Kauno m. sav., Kauno m., Žaliakalnis, Ievų takas", Žaliakalnis, Ievų takas,"28,500 ", 46.36,3,1962,2/2,https://www.capital.lt/lt/parduodamas-butas-ievu-takas-16-zaliakalnyje-kaune-4636-kvm-ploto-3-kambariai-p229173
"Kauno m. sav., Kauno m., Senamiestis, V. Kuzmos g.", Senamiestis, V. Kuzmos g.,"89,000 ",32.0,NaN,1860,3/3,https://www.capital.lt/lt/parduodamas-butas-senamiestyje-p229122
"Kauno m. sav., Kauno m., Šilainiai, Kuršių g.", Šilainiai, Kuršių g.,"75,000 ", 61.7,3,1987,5/9,https://www.capital.lt/lt/ieskote-jaukaus-3-kambariu-buto-silainiuose-kuriame-galetumete-ateiti-ir-gyventi-jau-uz-poros-menesiu-p229099
"Kauno m. sav., Kauno m., Žaliakalnis, Kapsų g.", Žaliakalnis, Kapsų g.,"85,000 ", 47.0,3,1954,1/1,https://www.capital.lt/lt/parduodama-namo-dalis-zaliakalnyje-p228960
"Kauno m. sav., Kauno m., Centras, A. Mackevičiaus g.", Centras, A. Mackevičiaus g.,"139,999 ", 82.13,3,1922,1/2,https://www.capital.lt/lt/parduodamas-butas-a-mackeviciaus-g-centre-kaune-8213-kvm-ploto-3-kambariai-p228943
"Kauno m. sav., Kauno m., Dainava, Taikos pr.", Dainava, Taikos pr.,"75,000 ", 47.04,3,1968,2/5,https://www.capital.lt/lt/parduodamas-butas-taikos-pr-65-dainavoje-kaune-4704-kvm-ploto-3-kambariai-p228908
"Kauno m. sav., Kauno m., Petrašiūnai, Nemajūnų g.", Petrašiūnai, Nemajūnų g.,"137,000 ", 105.0,4,2012,1/3,https://www.capital.lt/lt/parduodamas-105-kvm-butas-su-218-a-sklypu-unikalioje-vietoje-nemajunu-g-petrasiunai-kaunas-p228850
"Kauno m. sav., Kauno m., Dainava, Taikos pr.", Dainava, Taikos pr.,"75,000 ", 47.04,3,1968,2/5,https://www.capital.lt/lt/parduodamas-butas-taikos-pr-65-dainavoje-kaune-4704-kvm-ploto-3-kambariai-p228774
"Kauno m. sav., Kauno m., Žaliakalnis, M. Jankaus g.", Žaliakalnis, M. Jankaus g.,"65,000 ", 66.56,3,1964,1/2,https://www.capital.lt/lt/parduodamas-butas-m-jankaus-g-25-zaliakalnyje-kaune-6656-kvm-ploto-3-kambariai-p228724
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Medvėgalio g.", Aukštieji Šančiai, Medvėgalio g.,"66,900 ", 77.08,4,1973,2/5,https://www.capital.lt/lt/4-kambariu-butas-aukstuosiuose-sanciuose-p228707
"Kauno m. sav., Kauno m., Dainava, Savanorių pr.", Dainava, Savanorių pr.,"33,000 ", 33.0,2,1968,1/5,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-dainavoje-kaune-3300-kvm-ploto-2-kambariai-p228611
"Kauno m. sav., Kauno m., Centras, K. Donelaičio g.", Centras, K. Donelaičio g.,"129,000 ", 67.79,3,1978,3/3,https://www.capital.lt/lt/parduodamas-butas-k-donelaicio-g-75b-centre-kaune-6779-kvm-ploto-3-kambariai-p228575
"Kauno m. sav., Kauno m., Dainava, Pramonės pr.", Dainava, Pramonės pr.,"56,900 ", 43.72,2,1970,1/5,https://www.capital.lt/lt/2-kambariu-butas-dainavoje-p228570
"Kauno m. sav., Kauno m., Dainava, Kovo 11-osios g.", Dainava, Kovo 11-osios g.,"75,000 ", 61.0,3,1968,1/5,https://www.capital.lt/lt/parduodamas-butas-kovo-11-osios-g-dainavoje-kaune-6100-kvm-ploto-3-kambariai-p228565
"Kauno m. sav., Kauno m., Panemunė, A. Smetonos al.", Panemunė, A. Smetonos al.,"65,000 ", 57.35,3,1973,5/5,https://www.capital.lt/lt/parduodamas-tvarkingas-3-kambariu-butas-nuostabioje-vietoje-p228560
"Kauno m. sav., Kauno m., Lampėdžiai, Vytauto g.", Lampėdžiai, Vytauto g.,"179,000 ", 98.88,4,2008,2/2,https://www.capital.lt/lt/parduodamas-butas-vytauto-g-22-kaune-9888-kvm-ploto-4-kambariai-p228546
"Kauno m. sav., Kauno m., Centras, Vytauto pr.", Centras, Vytauto pr.,"59,500 ", 28.62,1,1962,2/5,https://www.capital.lt/lt/parduodamas-butas-vytauto-pr-11-centre-kaune-2862-kvm-ploto-1-kambariai-p228522
"Kauno m. sav., Kauno m., Žaliakalnis, Partizanų g.", Žaliakalnis, Partizanų g.,"29,000 ", 22.99,1,1972,5/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-3-zaliakalnyje-kaune-2299-kvm-ploto-1-kambariai-p228490
"Kauno m. sav., Kauno m., Dainava, Savanorių pr.", Dainava, Savanorių pr.,"66,000 ", 66.58,4,1968,1/5,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-dainavoje-kaune-6658-kvm-ploto-4-kambariai-p228488
"Kauno m. sav., Kauno m., Vilijampolė, Demokratų g.", Vilijampolė, Demokratų g.,"56,500 ", 57.69,3,1964,5/5,https://www.capital.lt/lt/parduodamas-butas-demokratu-g-vilijampoleje-kaune-5769-kvm-ploto-3-kambariai-p228480
"Kauno m. sav., Kauno m., Centras, Žemaičių g.", Centras, Žemaičių g.,"99,000 ", 162.74,5,1939,3/3,https://www.capital.lt/lt/parduodamas-butas-zemaiciu-g-centre-kaune-16274-kvm-ploto-5-kambariai-p228458
"Kauno m. sav., Kauno m., Šilainiai, Baltijos g.", Šilainiai, Baltijos g.,"62,500 ", 50.83,2,1990,2/9,https://www.capital.lt/lt/2-kambariu-butas-silainiuose-p228334
"Kauno m. sav., Kauno m., Žemieji Šančiai, Kranto al.", Žemieji Šančiai, Kranto al.,"58,000 ", 42.66,2,1964,4/5,https://www.capital.lt/lt/parduodamas-butas-zemuose-sanciuose-su-vaizdu-i-nemuna-p228333
"Kauno m. sav., Kauno m., Aleksotas, Julijanavos g.", Aleksotas, Julijanavos g.,"31,000 ", 31.0,1,1930,1,https://www.capital.lt/lt/parduodamas-butas-julijanavos-g-68-aleksote-kaune-3100-kvm-ploto-1-kambariai-p228317
"Kauno m. sav., Kauno m., Aleksotas, K. Dulksnio g.", Aleksotas, K. Dulksnio g.,"158,750 ", 127.0,4,2021,1/2,https://www.capital.lt/lt/kotedzas-k-dulksnio-g-2-aleksote-kaune-127-kvm-ploto-4-kambariai-p228090
"Kauno m. sav., Kauno m., Centras, E. Ožeškienės g.", Centras, E. Ožeškienės g.,"229,000 ", 127.89,3,1900,2/2,https://www.capital.lt/lt/parduodamas-butas-e-ozeskienes-g-7-centre-kaune-12789-kvm-ploto-3-kambariai-p228016
"Kauno m. sav., Kauno m., Kalniečiai, P. Plechavičiaus g.", Kalniečiai, P. Plechavičiaus g.,"75,000 ", 79.39,4,1976,4/5,https://www.capital.lt/lt/parduodamas-4-iu-kambariu-butas-p-plechaviciaus-g-kalnieciuose-kauno-m-p227935
"Kauno m. sav., Kauno m., Šilainiai, Baltų pr.", Šilainiai, Baltų pr.,"43,000 ", 37.33,1,1988,5/5,https://www.capital.lt/lt/parduodamas-butas-baltu-pr-6-60-silainiuose-kaune-3733-kvm-ploto-1-kambariai-p227873
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,"250,000 ", 98.62,1,1984,6/7,https://www.capital.lt/lt/parduodamas-butas-varniu-g-38-vilijampoleje-kaune-9862-kvm-ploto-1-kambariai-p227868
"Kauno m. sav., Kauno m., Aukštutiniai Kaniūkai, Šventupės g.", Aukštutiniai Kaniūkai, Šventupės g.,"209,000 ", 154.78,6,2018,2/3,https://www.capital.lt/lt/a-kaniukuose-parduodamas-kokybiskai-irengtas-butas-per-2-aukstus-su-dideliu-garazu--p227810
"Kauno m. sav., Kauno m., Panemunė, Pušų g.", Panemunė, Pušų g.,"17,000 ", 20.08,1,1930,3/3,https://www.capital.lt/lt/parduodamas-butas-pusu-g-7-panemuneje-kaune-2008-kvm-ploto-1-kambariai-p227454
"Kauno m. sav., Kauno m., Senamiestis, V. Kuzmos g.", Senamiestis, V. Kuzmos g.,"169,000 ", 64.33,3,1860,2/3,https://www.capital.lt/lt/parduodamas-butas-v-kuzmos-g-6-senamiestyje-p227404
"Kauno m. sav., Kauno m., Dainava, Biržiškų g.", Dainava, Biržiškų g.,"48,000 ", 45.56,2,1962,1/5,https://www.capital.lt/lt/salia-panemunes-silo-parduodamas-2-kambariu-butas-p227338
"Kauno m. sav., Kauno m., Žaliakalnis, Aušros g.", Žaliakalnis, Aušros g.,"79,950 ", 66.0,3,1969,1/5,https://www.capital.lt/lt/parduodamas-butas-ausros-g-12-zaliakalnyje-kaune-6600-kvm-ploto-3-kambariai-p227264
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"122,000 ", 89.54,3,2006,3/4,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-114b-dainavoje-kaune-8954-kvm-ploto-3-kambariai-p227263
"Kauno m. sav., Kauno m., Žaliakalnis, K. Baršausko g.", Žaliakalnis, K. Baršausko g.,"24,000 ", 15.74,1,1962,2/4,https://www.capital.lt/lt/parduodamas-butas-k-barsausko-g-77-zaliakalnyje-kaune-1574-kvm-ploto-1-kambariai-p227161
"Kauno m. sav., Kauno m., Žemutiniai Kaniūkai, Girininkų g.", Žemutiniai Kaniūkai, Girininkų g.,"119,000 ", 147.94,3,1991,1/2,https://www.capital.lt/lt/parduodamas-butas-girininku-g-zemutiniuose-kaniukuose-kaune-14794-kvm-ploto-3-kambariai-p227146
"Kauno m. sav., Kauno m., Šilainiai, Baltų pr.", Šilainiai, Baltų pr.,"75,800 ", 65.6,2,1991,9/9,https://www.capital.lt/lt/parduodamas-2-k-butas-su-kondicionieriumi-baltu-pr-silainiuose-kaune-6560-kvm-ploto-2-kambariai-p227059
"Kauno m. sav., Kauno m., Šilainiai, Skalvių g.", Šilainiai, Skalvių g.,"128,999 ", 74.91,3,2020,2/2,https://www.capital.lt/lt/parduodamas-butas-skalviu-g-23-silainiuose-kaune-7491-kvm-ploto-3-kambariai-p227033
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,"125,000 ", 66.0,2,2018,4/7,https://www.capital.lt/lt/tikrai-isskirtinis-ir-siuolaikiskas-lofto-tipo-butas-p227032
"Kauno m. sav., Kauno m., Dainava, Kovo 11-osios g.", Dainava, Kovo 11-osios g.,"39,900 ", 44.0,2,1965,5/5,https://www.capital.lt/lt/parduodamas-butas-kovo-11-osios-g-dainavoje-kaune-4400-kvm-ploto-2-kambariai-p226883
"Kauno m. sav., Kauno m., Šilainiai, Šarkuvos g.", Šilainiai, Šarkuvos g.,"64,999 ", 61.0,3,1988,6/9,https://www.capital.lt/lt/parduodamas-butas-sarkuvos-g-3-silainiuose-kaune-6100-kvm-ploto-3-kambariai-p226630
"Kauno m. sav., Kauno m., Dainava, Taikos pr.", Dainava, Taikos pr.,"47,900 ", 49.17,2,1975,1/9,https://www.capital.lt/lt/parduodamas-butas-taikos-pr-79-dainavoje-kaune-4917-kvm-ploto-2-kambariai-p226479
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"55,900 ", 44.62,2,1966,5/5,https://www.capital.lt/lt/2-kambariu-butas-dainavoje-p226421
"Kauno m. sav., Kauno m., Dainava, Pramonės pr.", Dainava, Pramonės pr.,"68,999 ", 61.44,3,1970,1/5,https://www.capital.lt/lt/parduodamas-butas-pramones-pr-dainavoje-kaune-6144-kvm-ploto-3-kambariai-p226155
"Kauno m. sav., Kauno m., Žaliakalnis, J. Žemgulio g.", Žaliakalnis, J. Žemgulio g.,"298,000 ", 249.98,4,1995,1/3,https://www.capital.lt/lt/parduodamas-butas-j-zemgulio-g-zaliakalnyje-kaune-24998-kvm-ploto-4-kambariai-p226154
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"89,999 ", 68.0,3,1976,5/12,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-zaliakalnyje-kaune-6800-kvm-ploto-3-kambariai-p226135
"Kauno m. sav., Kauno m., Dainava, Kovo 11-osios g. 106", Dainava, Kovo 11-osios g. 106,"52,500 ", 44.0,2,1965,4/5,https://www.capital.lt/lt/parduodamas-butas-kovo-11-osios-g-106-kovo-11-osios-g-106-102-dainavoje-kaune-4400-kvm-ploto-2-kambariai-p225839
"Kauno m. sav., Kauno m., Aleksotas, Veiverių g.", Aleksotas, Veiverių g.,"39,000 ", 41.0,2,1913,2/2,https://www.capital.lt/lt/parduodamas-butas-veiveriu-g-aleksote-kaune-4100-kvm-ploto-2-kambariai-p225744
"Kauno m. sav., Kauno m., Romainiai, J. Matuso g.", Romainiai, J. Matuso g.,"61,000 ",56.7,NaN,2021,1/1,https://www.capital.lt/lt/parduodamas-butas-j-matuso-g-romainiuose-kaune-5670-kvm-ploto-p225587
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"62,000 ", 38.48,2,1930,2/2,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-213-zaliakalnyje-kaune-3848-kvm-ploto-2-kambariai-p225505
"Kauno m. sav., Kauno m., Senamiestis, Karaliaus Mindaugo pr.", Senamiestis, Karaliaus Mindaugo pr.,"95,000 ", 47.0,3,1912,2/3,https://www.capital.lt/lt/parduodamas-triju-kambariu-butas-senamiestyje-p225430
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"124,000 ", 62.0,3,1959,2/3,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-206-zaliakalnyje-kaune-6200-kvm-ploto-3-kambariai-p225270
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"57,500 ", 31.0,2,2021,3/3,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-206-zaliakalnyje-kaune-3100-kvm-ploto-2-kambariai-p225267
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"46,500 ", 31.0,2,2021,3/3,https://www.capital.lt/lt/parduodamas-butas-savanoriu-pr-206-zaliakalnyje-kaune-3100-kvm-ploto-2-kambariai-p225218
"Kauno m. sav., Kauno m., Senamiestis, Karaliaus Mindaugo pr.", Senamiestis, Karaliaus Mindaugo pr.,"65,000 ", 30.0,1,1912,1/3,https://www.capital.lt/lt/vieno-kambario-butas-senamiestyje-p225080
"Kauno m. sav., Kauno m., Žaliakalnis, Savanorių pr.", Žaliakalnis, Savanorių pr.,"48,500 ", 42.0,2,1965,3/5,https://www.capital.lt/lt/2-kambariu-butas-zaliakalnyje-p224885
"Kauno m. sav., Kauno m., Petrašiūnai, M. Gimbutienės g.", Petrašiūnai, M. Gimbutienės g.,"13,500 ", 16.0,1,1968,4/4,https://www.capital.lt/lt/1-kambario-butas-petrasiunuose-p224816
"Kauno m. sav., Kauno m., Centras, S. Daukanto g.", Centras, S. Daukanto g.,"128,000 ", 71.8,4,1964,4/5,https://www.capital.lt/lt/parduodamas-butas-s-daukanto-g-10-centre-kaune-7180-kvm-ploto-4-kambariai-p224775
"Kauno m. sav., Kauno m., Centras, A. Mickevičiaus g.", Centras, A. Mickevičiaus g.,"64,999 ", 41.05,2,1933,1/3,https://www.capital.lt/lt/parduodamas-butas-a-mickeviciaus-g-41-centre-kaune-4105-kvm-ploto-2-kambariai-p224692
"Kauno m. sav., Kauno m., Aleksotas, Marvelės g.", Aleksotas, Marvelės g.,"169,000 ", 100.0,4,2019,1/2,https://www.capital.lt/lt/parduodamas-butas-marveles-g-66-aleksote-kaune-10000-kvm-ploto-4-kambariai-p224647
"Kauno m. sav., Kauno m., Žaliakalnis, K. Petrausko g.", Žaliakalnis, K. Petrausko g.,"56,999 ", 41.12,2,1963,3/4,https://www.capital.lt/lt/parduodamas-butas-k-petrausko-g-6-zaliakalnyje-kaune-4112-kvm-ploto-2-kambariai-p224537
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Hipodromo g.", Aukštieji Šančiai, Hipodromo g.,"55,000 ", 76.66,4,1972,4/5,https://www.capital.lt/lt/parduodamas-butas-hipodromo-g-42-aukstuosiuose-sanciuose-kaune-7666-kvm-ploto-4-kambariai-p224396
"Kauno m. sav., Kauno m., Senamiestis, A. Mapu g.", Senamiestis, A. Mapu g.,"124,999 ", 63.07,3,1910,2/2,https://www.capital.lt/lt/parduodamas-butas-a-mapu-g-11-senamiestyje-kaune-6307-kvm-ploto-3-kambariai-p224109
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"49,999 ", 45.0,2,1968,4/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-30-dainavoje-kaune-4500-kvm-ploto-2-kambariai-p224068
"Kauno m. sav., Kauno m., Centras, Maironio g.", Centras, Maironio g.,"149,000 ", 65.77,3,2011,3/4,https://www.capital.lt/lt/parduodamas-butas-maironio-g-26a-centre-kaune-6577-kvm-ploto-3-kambariai-p224049
"Kauno m. sav., Kauno m., Senamiestis, Palangos g.", Senamiestis, Palangos g.,"123,999 ", 65.0,3,1952,1/2,https://www.capital.lt/lt/parduodamas-butas-palangos-g-10-senamiestyje-kaune-6500-kvm-ploto-3-kambariai-p223830
"Kauno m. sav., Kauno m., Senamiestis, Šv. Gertrūdos g.", Senamiestis, Šv. Gertrūdos g.,"114,900 ", 55.88,3,1961,3/3,https://www.capital.lt/lt/parduodamas-butas-sv-gertrudos-g-31-senamiestyje-kaune-5588-kvm-ploto-3-kambariai-p223814
"Kauno m. sav., Kauno m., Senamiestis", Senamiestis,NaN,"144,000 ", 54.1,3,2018,1/4,https://www.capital.lt/lt/parduodamas-butas-senamiestyje-kaune-5410-kvm-ploto-3-kambariai-p223603
"Kauno m. sav., Kauno m., Žemieji Šančiai", Žemieji Šančiai,NaN,"22,000 ",45.32,NaN,1935,1/1,https://www.capital.lt/lt/parduodamas-butas-kaune-4532-kvm-ploto-p223182
"Kauno m. sav., Kauno m., Žaliakalnis, Žemaičių g.", Žaliakalnis, Žemaičių g.,"129,000 ", 70.59,4,1936,2/3,https://www.capital.lt/lt/parduodamas-butas-zemaiciu-g-42-zaliakalnyje-kaune-7059-kvm-ploto-4-kambariai-p223133
"Kauno m. sav., Kauno m., Žaliakalnis, Radvilėnų pl.", Žaliakalnis, Radvilėnų pl.,"148,900 ", 64.02,3,2020,2/9,https://www.capital.lt/lt/parduodamas-pilnai-irengtas-butas-radvilenu-pl-3c-zaliakalnyje-kaune-p223099
"Kauno m. sav., Kauno m., Žemieji Šančiai, Kranto 14-oji g.", Žemieji Šančiai, Kranto 14-oji g.,"149,000 ", 205.0,4,2019,2,https://www.capital.lt/lt/parduodamas-butas-kranto-14-oji-g-kaune-20500-kvm-ploto-4-kambariai-p222933
"Kauno m. sav., Kauno m., Sukilėlių pr.", Sukilėlių pr.,NaN,"430,000 ", 163.0,4,2008,14/14,https://www.capital.lt/lt/parduodami-apartamentai-ant-kauno-stogo--p222500
"Kauno m. sav., Kauno m., Centras, K. Donelaičio g.", Centras, K. Donelaičio g.,"82,900 ", 48.16,2,1932,3,https://www.capital.lt/lt/parduodamas-butas-k-donelaicio-g-9-centre-kaune-4816-kvm-ploto-2-kambariai-p222427
