Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Centras, Birštono g.", Centras, Birštono g.,450 , 39.65,2,1910,1/1,https://www.capital.lt/lt/nuomojamas-butas-birstono-g-centre-kaune-3965-kvm-ploto-2-kambariai-p222202
"Kauno m. sav., Kauno m., Centras, Karaliaus Mindaugo pr.", Centras, Karaliaus Mindaugo pr.,400 , 48.8,2,1953,4/6,https://www.capital.lt/lt/isnuomojamas-2-kmbr-butas-karaliaus-mindaugo-pr-kauno-centre-p220055
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,750 , 69.0,2,2018,6/7,https://www.capital.lt/lt/dizaineriu-moderniai-irengtas-butas-su-vaizdu-i-senamiesti--p217798
"Kauno m. sav., Kauno m., Senamiestis, M. Valančiaus g.", Senamiestis, M. Valančiaus g.,350 , 42.0,1,1950,3/3,https://www.capital.lt/lt/nuomuojamas-butas-senamiestyje-tik-300m-iki-kauno-rotuses-p217543
"Kauno m. sav., Kauno m., Petrašiūnai, R. Kalantos g.", Petrašiūnai, R. Kalantos g.,300 , 30.0,1,1980,2/3,https://www.capital.lt/lt/ilgalaike-nuoma-hostelyje-baltosios-bures-p214878
"Kauno m. sav., Kauno m., Centras, E. Ožeškienės g.", Centras, E. Ožeškienės g.,380 , 45.0,2,1920,3/4,https://www.capital.lt/lt/nuomojamas-butas-e-ozeskienes-g-21-c-centre-kaune-4500-kvm-ploto-2-kambariai-p213028
"Kauno m. sav., Kauno m., Dainava, Pramonės pr.", Dainava, Pramonės pr.,220 , 33.0,1,1967,5/9,https://www.capital.lt/lt/nuomojamas-butas-pramones-pr-45-dainavoje-kaune-3300-kvm-ploto-1-kambariai-p207835
"Kauno m. sav., Kauno m., Žaliakalnis, Radvilėnų pl.", Žaliakalnis, Radvilėnų pl.,450 , 53.79,2,1996,2/10,https://www.capital.lt/lt/nuomojamas-nuo-rugsejo-pirmosios-naujai-suremontuotas-butas-zaliakalnyje-p195828
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,400 , 44.45,2,1963,1/5,https://www.capital.lt/lt/isnuomojamas-labai-jaukus-dar-negyventas-apgalvotai-isplanuotas-2-kambariu-butas-vilijampoleje-kaune--p194413
"Kauno m. sav., Kauno m., Senamiestis, Vilniaus g.", Senamiestis, Vilniaus g.,"1,200 ", 300.0,5,1970,2/3,https://www.capital.lt/lt/nuomojamas-prabangus-butas-senamiestyje-p193106
"Kauno m. sav., Kauno m., Žaliakalnis, P. Višinskio g.", Žaliakalnis, P. Višinskio g.,600 , 65.49,3,1928,2/2,https://www.capital.lt/lt/nuomojamas-butas-p-visinskio-g-27-zaliakalnyje-kaune-3-kambariai-p181674
"Kauno m. sav., Kauno m., Dainava, Kovo 11-osios g.", Dainava, Kovo 11-osios g.,250 , 49.0,2,1980,9/9,https://www.capital.lt/lt/geroje-vietoje-isnuomojamas-2-kambariu-butas-p179617
"Kauno m. sav., Kauno m., Kalniečiai, V. Landsbergio-Žemkalnio g.", Kalniečiai, V. Landsbergio-Žemkalnio g.,300 , 33.0,1,1984,2/5,https://www.capital.lt/lt/nuomojamas-1-kambario-butas-v-landsbergio-zemkalnio-g-kalnieciuose-kaune-p175587
"Kauno m. sav., Kauno m., Centras, Vytauto pr.", Centras, Vytauto pr.,699 , 70.0,3,1925,2/4,https://www.capital.lt/lt/nuomojamas-isskirtinio-dizainio-butas-kauno-centre-p174371
